,mass,test_statistic
0,110,167.16473778267277
1,110,101.83193917514791
2,110,113.70875333566232
3,110,138.71043534647902
4,110,149.70568795101462
5,110,140.7154058491717
6,110,111.48798080101824
7,110,109.37826144115047
8,110,122.82936957651691
9,110,119.20935989273357
10,110,125.43771086801735
11,110,113.6786592653259
12,110,192.38234080001916
13,110,111.74293322676954
14,110,118.21890298738685
15,110,150.33723951463253
16,110,181.16506013266462
17,110,119.86395572012066
18,110,147.0846515611654
19,110,98.52126430458088
20,110,122.19017574988175
21,110,117.44911023856935
22,110,152.1583633482071
23,110,136.53787450137133
24,110,135.64278582544193
25,110,135.62349663789678
26,110,142.7773780622258
27,110,115.63182088590816
28,110,111.66513153662868
29,110,130.78518180642732
30,110,114.52050198775419
31,110,145.0179927637937
32,110,162.09900939981185
33,110,115.56865004463748
34,110,147.6824944707887
35,110,109.42792178813147
36,110,113.86584388914457
37,110,152.25542843980816
38,110,88.04727448674885
39,110,139.47539765173315
40,110,134.80334904215624
41,110,119.02763206009536
42,110,111.94045004018221
43,110,151.11133198113066
44,110,121.70904580876936
45,110,130.3226536284251
46,110,144.0990691268771
47,110,136.97807602517378
48,110,160.93813704706304
49,110,128.68711110652134
50,110,116.4063125817745
51,110,147.73773713642277
52,110,111.86031473908338
53,110,133.65108166674304
54,110,155.30473417263988
55,110,118.24559534458604
56,110,139.57133617711202
57,110,110.13445441224235
58,110,116.57412435763945
59,110,142.60312881288382
60,110,119.62676097532153
61,110,110.36532502155865
62,110,172.4012711720427
63,110,100.78584539324834
64,110,142.36205339419485
65,110,134.99721558246802
66,110,153.3882736730004
67,110,134.8305427693722
68,110,140.4024932488685
69,110,136.8348916061484
70,110,114.07544872845688
71,110,111.0414406516204
72,110,135.8299113512753
73,110,117.78438101054962
74,110,101.55336497216354
75,110,104.02322142304138
76,110,134.36967561857978
77,110,123.07450022396915
78,110,122.99710516411164
79,110,127.50406143592909
80,110,126.38720339591441
81,110,130.45703266406508
82,110,156.15855032460922
83,110,128.66351723867274
84,110,132.0126648787409
85,110,136.69003748899922
86,110,128.6440296807359
87,110,113.81889140125872
88,110,110.88255843743855
89,110,116.03953137475924
90,110,165.6450423840604
91,110,142.7176267962518
92,110,140.24052068609967
93,110,185.53211757710392
94,110,110.68364597453046
95,110,98.38694255217592
96,110,139.26565334746442
97,110,160.2655317022468
98,110,134.96881915696736
99,110,118.72673579566094
100,115,208.8549631751473
101,115,206.59074350359447
102,115,184.0137296594744
103,115,239.65302830932
104,115,208.26268738710314
105,115,178.0411011650474
106,115,239.82741539686663
107,115,145.82151410882375
108,115,230.0002772576995
109,115,208.2614291852251
110,115,207.3133000659841
111,115,179.16883048552108
112,115,223.98947865988293
113,115,127.73868487351046
114,115,209.76980893324412
115,115,143.6442138008788
116,115,168.71766629818285
117,115,184.352191332953
118,115,239.77590711244056
119,115,252.9354093374509
120,115,196.00201493245868
121,115,225.30657071005294
122,115,235.8529654564868
123,115,147.52046483905724
124,115,188.36379793872084
125,115,201.14667829829637
126,115,188.97215994702492
127,115,233.45296693083287
128,115,206.71842241916238
129,115,207.41435846129593
130,115,194.0467845623923
131,115,143.94922053152527
132,115,125.99225256712771
133,115,192.35801874688218
134,115,206.78413210908616
135,115,215.1677446508852
136,115,181.82993269714711
137,115,211.59871533665137
138,115,170.79923125177015
